No,Card,CardNumber,ExpectedGrade,SearchQuery,MatchedName,MatchedSet,Printing,TCGPlayerId,CardNum,MarketPrice,Selected
1,Dark Scizor,9/105,7,Dark Scizor,Scizor VMAX (Secret),SWSH03: Darkness Ablaze,Holofoil,219319,193/189,10.2,N
1,Dark Scizor,9/105,7,Dark Scizor,Scizor V (Full Art),SWSH03: Darkness Ablaze,Holofoil,219305,183/189,3.51,N
1,Dark Scizor,9/105,7,Dark Scizor,Scizor VMAX,SWSH03: Darkness Ablaze,Holofoil,219374,119/189,3.49,N
1,Dark Scizor,9/105,7,Dark Scizor,Scizor V,SWSH03: Darkness Ablaze,Holofoil,219373,118/189,1.93,N
1,Dark Scizor,9/105,7,Dark Scizor,Dark Scizor,Neo Destiny,1st Edition Holofoil,84652,009/105,596.68,Y
2,Dark Celebi,4/101,9/10,Dark Celebi,Dark Celebi,Hidden Legends,Holofoil,84571,4/101,38.12,Y
3,Dark Slowking,9/109,9,Dark Slowking,Dark Slowking,Team Rocket Returns,Holofoil,84657,9/109,76.12,Y
3,Dark Slowking,9/109,9,Dark Slowking,Slowking,Dark Explorers,Normal,89320,49/108,1.73,N
3,Dark Slowking,9/109,9,Dark Slowking,Dark Slowking,Neo Destiny,1st Edition,84656,020/105,76.35,N
4,Dark Marowak,7/109,9,Dark Marowak,Dark Marowak,Team Rocket Returns,Holofoil,84627,7/109,84.22,Y
4,Dark Marowak,7/109,9,Dark Marowak,Dark Marowak - 7/109 (EX Team Rocket Returns),Deck Exclusives,Normal,125065,007/109,5.81,N
5,Dark Hypno,6/109,9/10,Dark Hypno,Dark Hypno,Team Rocket Returns,Holofoil,84615,6/109,52.71,Y
5,Dark Hypno,6/109,9/10,Dark Hypno,Dark Hypno (26),Team Rocket,1st Edition,84614,26/82,13.31,N
5,Dark Hypno,6/109,9/10,Dark Hypno,Dark Hypno (9),Team Rocket,1st Edition Holofoil,84613,09/82,70.9,N
6,Dark Steelix,10/109,9,Dark Steelix,Dark Steelix,Team Rocket Returns,Holofoil,84658,10/109,46.06,Y
7,Dark Marowak,7/109,possible 10,Dark Marowak,Dark Marowak,Team Rocket Returns,Holofoil,84627,7/109,84.22,Y
7,Dark Marowak,7/109,possible 10,Dark Marowak,Dark Marowak - 7/109 (EX Team Rocket Returns),Deck Exclusives,Normal,125065,007/109,5.81,N
8,Shining Charizard,107/105,6,Shining Charizard,Charizard VMAX,Shining Fates: Shiny Vault,Holofoil,232496,SV107/SV122,134.6,N
8,Shining Charizard,107/105,6,Shining Charizard,Shining Charizard,Neo Destiny,1st Edition Holofoil,89163,107/105,400,Y
9,Shining Mewtwo,109/105,6/7,Shining Mewtwo,Mewtwo GX (Secret Shining),Shining Legends,Holofoil,146698,78/73,519.72,N
