No,Card,CardNumber,Set,Printing,ExpectedGrade,Justification,PSA_Lower_Grade,PSA_Lower_Avg,PSA_Lower_Med,PSA_Lower_Count,PSA_Lower_Confidence,PSA_Expected_Grade,PSA_Expected_Avg,PSA_Expected_Med,PSA_Expected_Count,PSA_Expected_Confidence,PSA_Upper_Grade,PSA_Upper_Avg,PSA_Upper_Med,PSA_Upper_Count,PSA_Upper_Confidence,Raw_NM_Price,Grading_Cost,Value_Uplift,Net_ROI,ROI_Percent,Is_Selected_Variant,All_Printings_Found
1,Dark Scizor,9/105,Neo Destiny,1st Edition Holofoil,7,"Front foil peel off, light scratch on holo, back a few indent (corner & bottom)",6,129.98,129.98,1,low,7,200.63,183.75,4,medium,8,192.00,169.99,5,high,154.46,20,46.16,26.16,15.0,Y,Holofoil (SWSH03: Darkness Ablaze); Holofoil (SWSH03: Darkness Ablaze); Holofoil (SWSH03: Darkness Ablaze); Holofoil (SWSH03: Darkness Ablaze); 1st Edition Holofoil (Neo Destiny)
2,Dark Celebi,4/101,Hidden Legends,Holofoil,9,Tiny whitening dot at the back,8,79.33,79.99,3,medium,9,173.00,173.00,2,medium,10,550.00,550.00,1,low,38.12,20,134.88,114.88,197.7,Y,Holofoil (Hidden Legends)
2,Dark Celebi,4/101,Hidden Legends,Holofoil,10,Tiny whitening dot at the back,9,173.00,173.00,2,medium,10,550.00,550.00,1,low,N/A,,,0,N/A,38.12,20,511.88,491.88,846.3,Y,Holofoil (Hidden Legends)
3,Dark Slowking,9/109,Team Rocket Returns,Holofoil,9,Back left bottom whitening,8,174.99,174.99,1,low,9,190.00,190.00,1,low,10,,,0,low,76.12,20,113.88,93.88,97.7,Y,Holofoil (Team Rocket Returns); Normal (Dark Explorers); 1st Edition (Neo Destiny)
4,Dark Marowak,7/109,Team Rocket Returns,Holofoil,9,Back top left whitening/indent,8,94.97,90.00,10,high,9,249.24,265.00,10,high,10,896.80,860.00,5,high,84.22,20,165.02,145.02,139.2,Y,Holofoil (Team Rocket Returns); Normal (Deck Exclusives)
5,Dark Hypno,6/109,Team Rocket Returns,Holofoil,9,Very faint print line (back),8,32.00,32.00,1,low,9,113.50,113.50,1,low,10,625.73,511.50,6,high,52.71,20,60.79,40.79,56.1,Y,Holofoil (Team Rocket Returns); 1st Edition (Team Rocket); 1st Edition Holofoil (Team Rocket)
5,Dark Hypno,6/109,Team Rocket Returns,Holofoil,10,Very faint print line (back),9,113.50,113.50,1,low,10,625.73,511.50,6,high,N/A,,,0,N/A,52.71,20,573.02,553.02,760.6,Y,Holofoil (Team Rocket Returns); 1st Edition (Team Rocket); 1st Edition Holofoil (Team Rocket)
6,Dark Steelix,10/109,Team Rocket Returns,Holofoil,9,Top bottom left (white dot) back,8,99.99,99.99,1,low,9,129.99,129.99,1,low,10,828.50,828.50,2,medium,46.06,20,83.93,63.93,96.8,Y,Holofoil (Team Rocket Returns)
7,Dark Marowak,7/109,Team Rocket Returns,Holofoil,9,,8,94.97,90.00,10,high,9,249.24,265.00,10,high,10,896.80,860.00,5,high,84.22,20,165.02,145.02,139.2,Y,Holofoil (Team Rocket Returns); Normal (Deck Exclusives)
7,Dark Marowak,7/109,Team Rocket Returns,Holofoil,10,,9,249.24,265.00,10,high,10,896.80,860.00,5,high,N/A,,,0,N/A,84.22,20,812.58,792.58,760.5,Y,Holofoil (Team Rocket Returns); Normal (Deck Exclusives)
